book_id,authors,original_publication_year,original_title,genres
1,Suzanne Collins,2008,The Hunger Games,Action|Adventure|Sci-Fi
2,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,Adventure|Animation|Children|Comedy|Fantasy
3,Stephenie Meyer,2005,Twilight,Romance|Drama|Fantasy
4,Harper Lee,1960,To Kill a Mockingbird,Crime|Drama
5,F. Scott Fitzgerald,1925,The Great Gatsby,Drama|Romance
6,John Green,2012,The Fault in Our Stars,Romance|Novel|Fiction
7,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,Children|Fantasy|Fiction
8,J.D. Salinger,1951,The Catcher in the Rye,Action 
9,Dan Brown,2000,Angels & Demons ,Mystery|Thriller
10,Jane Austen,1813,Pride and Prejudice,Romance|Drama
11,Khaled Hosseini,2003,The Kite Runner ,Romance|Drama
12,Veronica Roth,2011,Divergent,Sci-Fi|Fiction
13,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,Sci-Fi|Fiction|Drama|Romance|Fantasy
14,George Orwell,1945,Animal Farm: A Fairy Story,Adventure 
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,
16,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,
17,Suzanne Collins,2009,Catching Fire,Adventure|Thriller|Sci-Fi
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,Adventure|Animation|Children|Comedy|Fantasy
19,J.R.R. Tolkien,1954, The Fellowship of the Ring,Action|Fantasy|Adventure
20,Suzanne Collins,2010,Mockingjay,Adventure|Thriller|Sci-Fi|War|Drama|Thriller|Fantasy
21,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,Adventure|Animation|Children|Comedy|Fantasy
22,Alice Sebold,2002,The Lovely Bones,
23,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,Adventure|Animation|Children|Comedy|Fantasy
24,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,Adventure|Animation|Children|Comedy|Fantasy
25,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,Adventure|Animation|Children|Comedy|Fantasy
26,Dan Brown,2003,The Da Vinci Code,Mystery|Thriller
27,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,Adventure|Animation|Children|Comedy|Fantasy
28,William Golding,1954,Lord of the Flies ,Adventure|Drama|Thriller
29,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romance
30,Gillian Flynn,2012,Gone Girl,Thriller|Drama|Mystery
31,Kathryn Stockett,2009,The Help,Romance|Drama
32,John Steinbeck,1937,Of Mice and Men ,Drama
33,Arthur Golden,1997,Memoirs of a Geisha,Drama|Romance
34,E.L. James,2011,Fifty Shades of Grey,Drama|Romance|Thriller
35,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,Drama|Adventure|Fantasy
36,Lois Lowry,1993,The Giver,Drama|Sci-Fi
37,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",Adventure|Fantasy
38,Audrey Niffenegger,2003,The Time Traveler's Wife,Romance|Drama|Fantasy|Sci-Fi|Mystery
39,George R.R. Martin,1996,A Game of Thrones,Horror|Adventure|Action|Drama|Thriller
40,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",
41,Rick Riordan,2005,The Lightning Thief,Adventure|Fantasy
42,Louisa May Alcott,1868,Little Women,Romance|Drama
43,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Romance|Drama
44,Nicholas Sparks,1996,The Notebook,Romance|Drama
45,Yann Martel,2001,Life of Pi,Adventure|Fantasy|Drama
46,Sara Gruen,2006,Water for Elephants,Roamnce|Drama
47,Markus Zusak,2005,The Book Thief,War|Drama
48,Ray Bradbury,1953,Fahrenheit 451,Sci-Fi|Drama
49,Stephenie Meyer,2006,"New Moon (Twilight, #2)",Romance|Drama|Adventure|Fantasy
50,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,
51,Cassandra Clare,2007,City of Bones,Drama|Romance|Fantasy|Action|Adventure|Mystery|Horror
52,Stephenie Meyer,2007,Eclipse,Drama|Romance|Fantasy|Adventure
53,Christopher Paolini,2002,Eragon,Action|Fantasy|Adventure|Drama
54,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,Comedy|Sci-fi|Adventure
55,Aldous Huxley,1932,Brave New World,Drama|Sci-Fi
56,Stephenie Meyer,2008,Breaking Dawn,Romance|Drama|Fantasy
57,Sue Monk Kidd,2001,The Secret Life of Bees,Drama
58,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,Adventure|Comedy|Drama
59,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Comedy|Animation|Fantasy
60,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,Mystery|Thriller
61,Paula Hawkins,2015,The Girl on the Train,Thriller|Drama|Crime|Mystery
62,Philip Pullman,1995,Northern Lights,Romance|Drama|Crime|Mystery
63,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Romance|Drama
64,Jodi Picoult,2004,My Sister's Keeper,Drama
